ID,vreme,domaci,gosti,1-1,ne 1-1
Mozzart0,2025-07-05 22:00:00,EC Sao Jose,Guarany Bage,2.05,1.69
Planetwin2,2025-07-05 22:00:00,Sao Jose,Guarany de Bage,2.09,1.0
Topbet2,2025-07-05 22:00:00,EC Sao Jose RS,Guarany de Bage FC,2.25,1.0
Volcano100,2025-07-05 22:00:00,Sao Jose RS,Guarany de Bagé,1.0,1.0
Betole0,2025-07-05 22:00:00,EC Sao Jose,Guarany de Bage,2.47,1.45
Oktagon0,2025-07-05 22:00:00,EC Sao Jose,Guarany de Bage,2.47,1.0
Mystake112,2025-07-05 22:00:00,Sao Jose RS,Guarany  RS,1.0,1.0
Balkan3,2025-07-05 22:00:00,EC Sao Jose RS,Guarany de Bage FC,2.0,1.75
Superbet1,2025-07-05 22:00:00,Sao Jose RS,Guarany RS,1.0,1.0
Pinbet0,2025-07-05 22:00:00,EC Sao Jose,Guarany de Bage,1.0,1.0
Soccer0,2025-07-05 22:00:00,EC Sao Jose,Guarany de Bage,2.35,1.0
