ID,vreme,domaci,gosti,D II 0-1,D II 2+
Volcano147,2025-06-26 00:30:00,Manhattan SC,Ironbound SC,1.0,1.0
Topbet118,2025-06-26 00:30:00,Manhattan SC,Ironbound SC,1.5,2.45
Soccer119,2025-06-26 00:30:00,Manhattan,Ironbound SC,1.43,2.55
Mystake322,2025-06-26 00:30:00,Manhattan  ,Ironbound  ,1.0,1.0
Mozzart94,2025-06-26 00:30:00,Manhattan,Ironbound,1.27,3.1
Betole122,2025-06-26 00:30:00,Manhattan,Ironbound SC,1.0,1.0
Oktagon122,2025-06-26 00:30:00,Manhattan,Ironbound SC,1.37,2.75
Pinbet104,2025-06-26 00:30:00,Manhattan,Ironbound SC,1.0,1.0
Balkan127,2025-06-26 00:30:00,Manhattan SC,Ironbound SC,1.0,1.0
Planetwin47,2025-06-26 00:30:00,Manhattan,Ironbound SC,1.0,1.0
