ID,vreme,domaci,gosti,II GG,II NG
Balkan161,2025-07-12 08:15:00,Gold Coast Knights,Peninsula Power FC,2.55,1.0
Volcano30,2025-07-12 08:15:00,Gold Coast Knights,Peninsula Power,1.0,1.0
Oktagon174,2025-07-12 08:15:00,Gold Coast Knights,Peninsula Power,2.3,1.52
Soccer129,2025-07-12 08:15:00,Gold Coast Knights,Peninsula,2.3,1.55
Mozzart112,2025-07-12 08:15:00,Gold Coust Knights,Peninsula,2.3,1.48
Pinbet128,2025-07-12 08:15:00,Gold Coast Knights,Peninsula,1.0,1.0
Topbet115,2025-07-12 08:15:00,Gold Coast Knights,Peninsula Power FC,2.05,1.68
Superbet161,2025-07-12 08:15:00,Gold Coast Knights,Peninsula Power,1.0,1.0
Mystake531,2025-07-12 08:15:00,Gold Coast Knights,Peninsula Power,1.0,1.0
Planetwin39,2025-07-12 08:15:00,Gold Coast Kn.,Peninsula,2.29,1.52
Betole175,2025-07-12 08:15:00,Gold Coast Knights,Peninsula Power,2.3,1.51
