ID,vreme,domaci,gosti,GG3+,ne GG3+
Oktagon13,2025-07-08 19:30:00,Stamford,Peterborough,2.62,1.0
Pinbet26,2025-07-08 19:30:00,Stamford,Peterborough,2.63,1.31
Mozzart14,2025-07-08 19:30:00,Stamford,Peterborough,2.3,1.43
Superbet18,2025-07-08 19:30:00,Stamford,Peterborough United,2.55,1.45
Soccer28,2025-07-08 19:30:00,Stamford,Peterborough,2.28,1.0
Topbet22,2025-07-08 19:30:00,Stamford AFC,Peterborough United,3.45,1.0
Volcano224,2025-07-08 19:30:00,Stamford,Peterborough Utd.,2.6,1.0
Balkan24,2025-07-08 19:30:00,Stamford AFC,Peterborough United,2.7,1.0
Betole14,2025-07-08 19:30:00,Stamford,Peterborough,2.63,1.31
Mystake655,2025-07-08 19:30:00,Stamford,Peterborough United,1.0,1.0
