ID,vreme,domaci,gosti,I 12,I X
Mozzart0,2025-07-05 22:00:00,EC Sao Jose,Guarany Bage,1.47,2.3
Planetwin2,2025-07-05 22:00:00,Sao Jose,Guarany de Bage,1.66,2.01
Topbet2,2025-07-05 22:00:00,EC Sao Jose RS,Guarany de Bage FC,1.0,2.05
Volcano100,2025-07-05 22:00:00,Sao Jose RS,Guarany de Bagé,1.0,1.0
Betole0,2025-07-05 22:00:00,EC Sao Jose,Guarany de Bage,1.77,1.87
Oktagon0,2025-07-05 22:00:00,EC Sao Jose,Guarany de Bage,1.77,1.87
Mystake112,2025-07-05 22:00:00,Sao Jose RS,Guarany  RS,1.0,1.0
Balkan3,2025-07-05 22:00:00,EC Sao Jose RS,Guarany de Bage FC,1.0,2.1
Superbet1,2025-07-05 22:00:00,Sao Jose RS,Guarany RS,1.0,1.0
Pinbet0,2025-07-05 22:00:00,EC Sao Jose,Guarany de Bage,1.0,1.0
Soccer0,2025-07-05 22:00:00,EC Sao Jose,Guarany de Bage,1.0,1.95
