ID,vreme,domaci,gosti,ug 0-2,ug 3+
Oktagon50,2025-06-27 02:00:00,USA Wom.,Ireland Wom.,2.7,1.39
Betole53,2025-06-27 02:00:00,USA Wom.,Ireland Wom.,2.7,1.38
Volcano224,2025-06-27 02:00:00,w/USA,w/Ireland,1.0,1.0
Planetwin19,2025-06-27 02:00:00,USA (W),Ireland (W),2.54,1.45
Pinbet44,2025-06-27 02:00:00,USA W,Ireland W,2.7,1.39
Mozzart46,2025-06-27 02:00:00,USA W,Ireland Rep.W,2.7,1.4
Topbet47,2025-06-27 02:00:00,USA,Ireland,3.45,1.27
Mystake16,2025-06-27 02:00:00,USA W.,Ireland W.,1.0,1.0
Balkan49,2025-06-27 02:00:00,USA,Ireland,2.65,1.42
Soccer51,2025-06-27 02:00:00,USA Wom.,Ireland Wom.,2.8,1.38
