ID,vreme,domaci,gosti,1,X,2
Planetwin11,2025-07-02 00:30:00,United Bantams,Charlotte Ind. (2),3.95,3.34,1.8
Mozzart47,2025-07-02 00:30:00,United Bantams,Charlotte II,3.8,3.8,1.73
Mystake267,2025-07-02 00:30:00,South Carolina United ,Charlotte Independence 2,4.3,3.5,1.75
Soccer53,2025-07-02 00:30:00,SC United Bantams,Charlotte Independence 2,3.85,3.6,1.75
Betole63,2025-07-02 00:30:00,SC United Bantams,Charlotte Independ. 2,3.5,3.65,1.81
Pinbet47,2025-07-02 00:30:00,SC United Bantams,Charlotte Independ. 2,4.3,3.8,1.63
Balkan51,2025-07-02 00:30:00,South Carolina United Bantams,Charlotte Independence 2,3.45,3.75,1.8
Superbet55,2025-07-02 00:30:00,SC United Bantams,Charlotte Independence 2,3.0,3.3,2.15
Volcano242,2025-07-02 00:30:00,SC United Bantams,Charlotte Independence 2,3.5,3.65,1.81
Oktagon62,2025-07-02 00:30:00,SC United Bantams,Charlotte Independ. 2,3.5,3.65,1.81
Topbet47,2025-07-02 00:30:00,South Carolina United Bantams,Charlotte Independence 2,3.6,3.9,1.75
