ID,vreme,domaci,gosti,I 1,I X2
Mystake138,2025-07-06 18:45:00,CEAC Araruama,America RJ,1.0,1.0
Betole103,2025-07-06 18:45:00,CEAC/Araruama,America RJ,4.85,1.12
Topbet78,2025-07-06 18:45:00,Araruama FC RJ,America FC RJ,5.57,1.0
Oktagon103,2025-07-06 18:45:00,CEAC/Araruama,America RJ,4.55,1.14
Pinbet78,2025-07-06 18:45:00,CEAC/Araruama,America RJ,1.0,1.0
Balkan98,2025-07-06 18:45:00,Araruama FC RJ,America FC RJ,3.55,1.0
Mozzart76,2025-07-06 18:45:00,Araruama,America RJ,3.45,1.22
Soccer82,2025-07-06 18:45:00,CEAC/Araruama,America RJ,4.15,1.0
Volcano491,2025-07-06 18:45:00,CEAC / Araruama,America RJ,1.0,1.0
Superbet84,2025-07-06 18:45:00,CEAC/Araruama,America RJ,1.0,1.0
