ID,vreme,domaci,gosti,D I 0-1,D I 2+
Mystake98,2025-07-12 16:30:00,Malmo,Norrkoping,1.0,1.0
Mozzart139,2025-07-12 16:30:00,Malmo,Norrkoping,1.33,3.05
Oktagon244,2025-07-12 16:30:00,Malmo FF,IFK Norrkoping,1.22,3.75
Superbet234,2025-07-12 16:30:00,Malmo FF,Norrkoping,1.0,1.0
Pinbet121,2025-07-12 16:30:00,Malmo FF,Norrkoping,1.0,1.0
Volcano759,2025-07-12 16:30:00,Malmö FF,IFK Norrköping,1.0,1.0
Soccer146,2025-07-12 16:30:00,Malmo FF,Norrkoping,1.33,3.0
Betole243,2025-07-12 16:30:00,Malmo FF,Norrkoping,1.3,3.2
Balkan151,2025-07-12 16:30:00,Malmo FF,IFK Norrkoping FK,1.33,2.9
Topbet121,2025-07-12 16:30:00,Malmo FF,IFK Norrkoping FK,1.4,3.05
