ID,vreme,domaci,gosti,2,2-1X,1X-1X
Pinbet53,2025-07-13 16:00:00,Ordabasy,FC Astana,1.77,1.0,1.0
Topbet57,2025-07-13 16:00:00,FC Ordabasy,FC Astana,1.58,17.0,2.65
Betole66,2025-07-13 16:00:00,Ordabasy,FC Astana,1.71,13.0,2.2
Mozzart43,2025-07-13 16:00:00,Ordabasy S.,Astana,1.55,1.0,2.7
Planetwin27,2025-07-13 16:00:00,Ordabasy,Astana,1.74,13.2,2.17
Balkan71,2025-07-13 16:00:00,FC Ordabasy,FC Astana,1.68,1.0,1.0
Superbet70,2025-07-13 16:00:00,Ordabasy,Astana,1.65,1.0,1.0
Soccer57,2025-07-13 16:00:00,Ordabasy,FC Astana,1.72,10.8,2.15
Volcano284,2025-07-13 16:00:00,Ordabasy,FC Astana,1.69,1.0,1.0
Mystake661,2025-07-13 16:00:00, Ordabasy, Astana,1.55,1.0,1.0
Oktagon72,2025-07-13 16:00:00,Ordabasy,FC Astana,1.69,13.25,2.2
