ID,vreme,domaci,gosti,1,1-X2,X2-X2
Topbet122,2025-07-06 20:00:00,Central SC PE,Santa Cruz FC RN,1.58,17.5,2.6
Soccer124,2025-07-06 20:00:00,Central SC,Santa Cruz de Natal,1.55,12.7,2.4
Volcano238,2025-07-06 20:00:00,Central SC PE,Santa Cruz FC RN,1.75,1.0,1.0
Mozzart104,2025-07-06 20:00:00,Central PE,Santa Cruz RN,1.6,1.0,2.8
Planetwin67,2025-07-06 20:00:00,Central,Santa Cruz RN,1.56,1.0,1.0
Mystake129,2025-07-06 20:00:00,Central PE,Santa Cruz RN,1.55,1.0,1.0
Superbet130,2025-07-06 20:00:00,Central PE,Santa Cruz RN,1.6,1.0,1.0
Oktagon161,2025-07-06 20:00:00,Central SC,Santa Cruz de Natal,1.75,1.0,1.0
Balkan148,2025-07-06 20:00:00,Central SC PE,Santa Cruz FC RN,1.7,1.0,1.0
Betole162,2025-07-06 20:00:00,Central SC,Santa Cruz de Natal,1.75,13.0,2.1
