ID,vreme,domaci,gosti,I 0-1,I 2+
Oktagon7,2025-07-13 12:35:00,Chengdu Rongcheng B,Guangxi Lanhang,1.59,2.15
Superbet7,2025-07-13 12:35:00,Chengdu Rongcheng B,Guangxi Lanhang,1.0,1.0
Pinbet6,2025-07-13 12:35:00,Chengdu Rongcheng B,Guangxi Lanhang,1.0,1.0
Balkan7,2025-07-13 12:35:00,Chengdu Rongcheng B,Guangxi Lanhang,1.63,2.1
Mozzart7,2025-07-13 12:35:00,Chengdu Rongcheng II,Guangxi L.,1.69,2.05
Topbet7,2025-07-13 12:35:00,Chengdu Rongcheng B,Guangxi Lanhang,1.0,1.0
Mystake640,2025-07-13 12:35:00,Chengdu Rongcheng B,Guangxi Lanhang,1.0,1.0
Volcano561,2025-07-13 12:35:00,Chengdu Rongcheng 2,Guangxi Lanhang,1.0,1.0
Betole7,2025-07-13 12:35:00,Chengdu Rongcheng B,Guangxi Lanhang,1.57,2.15
Soccer7,2025-07-13 12:35:00,Chengdu Rongcheng B,Guangxi Lanhang,1.6,2.18
Planetwin5,2025-07-13 12:35:00,Chengdu Rongcheng (B),Guangxi Lanhang,1.38,2.65
